id	sample	element	KZ_sample	KZ_element	replicated	batch1_weight	batch2_weight
MB410	1	31;42	NA	NA	FALSE	0.649999999999929	NA
MB298	2	43	74	41;42	FALSE	42.85	NA
MB406	3	12	6	31;32;33;41;42	TRUE	9.37500000000008	7.02500000000003
MB292	4	31;32	NA	NA	TRUE	2.42499999999996	1.94999999999999
MB329	5	31;32	NA	NA	FALSE	16.2	NA
MB392	6	NA	1	41;31;11	TRUE	34.275	2.85000000000003
MB287	7	41	NA	NA	FALSE	2.19999999999998	NA
MB186	8	42	59	43	TRUE	9.40000000000008	21.85
MB366	9	42	76	41;31	TRUE	18.5749999999999	18
MB261	10	31;32	NA	NA	FALSE	12.7499999999999	NA
MB121	11	31	NA	NA	FALSE	14.8999999999999	NA
MB9	12	33	NA	NA	FALSE	3.80000000000002	NA
MB9	12.2	32	NA	NA	FALSE	6.37499999999996	NA
MB423	13	32	60	41;42;31	TRUE	7.05000000000011	17.675
MB107	14	41;42	53	41;42;31;32;11;26;15	TRUE	15.975	5.80000000000001
MB251	15	31	NA	NA	TRUE	10.525	7.80000000000001
MB301	16	41	NA	NA	FALSE	32.0999999999999	NA
MB301	16b	27;28	NA	NA	FALSE	12.15	NA
MB207	17	42	51	42;43	TRUE	20.3	18.55
MB365	18	42	NA	NA	FALSE	20.6	NA
MB117	19	31;32	NA	NA	FALSE	2.87500000000012	NA
MB131	20	NA	2	41;31;46	TRUE	15.1000000000001	6.49999999999999
MB204	21	NA	3	41;31;46	TRUE	10.825	4.025
MB30	22	NA	8	31;33;42;45;43	TRUE	11.675	5.77500000000001
MB407	23	NA	9	41;42;31;32;33;46;47	TRUE	16.3	2.125
MB78	24	NA	13	31;32;41;42;45	TRUE	29.7500000000001	7.92500000000001
MB163	25	NA	16	15;16;17;21;26;27;31;32;33;42;43;44;45	TRUE	7.47500000000007	2.87500000000004
MB18	26	NA	23	41;42;31;32;33	TRUE	12.5	7.09999999999997
MB53	27	NA	24	11;21;42;43	TRUE	11.5999999999998	5.45000000000002
MB235	28	NA	29	26	TRUE	30.8999999999999	9.27500000000003
MB69	29	NA	30	31;32;33;41;43;26	TRUE	22.7249999999999	6.97500000000003
MB180	30	NA	37	33;31;32;41;42	TRUE	25.4500000000001	6.37499999999999
MB266	31	NA	40	31;32;34;35;37;41;42;46	TRUE	19.85	16.1
MB65	32	NA	44	41	TRUE	41.775	27.8
MB116	33	NA	45	42;43;44	FALSE	22.275	NA
MB396	34	NA	48	41;42;43;31;32;33;26	FALSE	27.1999999999999	NA
MB255	35	NA	49	41	TRUE	36.05	4.05
MB425	36	NA	61	42;43	TRUE	17.4000000000001	8.325
MB361	37	NA	65	31;32;41	TRUE	30.8749999999999	14.525
MB158	38	NA	66	31;41;42	TRUE	30.0749999999999	7.50000000000001
MB29	39	NA	72	41;31;42	TRUE	18.025	1.07500000000003
MB120	40	NA	47	41;32	TRUE	17.75	9.55000000000002
MB60	41	NA	19	31;32;41;42	TRUE	33.9	14.175
MB37	42	NA	11	31;41	FALSE	1.20000000000009	NA
