sample,weight,weight_wash1,weight_wash2,weight_wash3,weight_avg,caffeine_wash1,caffeine_wash2,caffeine_wash3,caffeine_calc,theophylline_wash1,theophylline_wash2,theophylline_wash3,theophylline_calc,cotinine_wash1,cotinine_wash2,cotinine_wash3,cotinine_calc,nicotine_wash1,nicotine_wash2,nicotine_wash3,nicotine_calc,salicyl_wash1,salicyl_wash2,salicyl_wash3,salicyl_calc,thca-a_wash1,thca-a_wash2,thca-a_wash3,thca-a_calc,cbn_wash1,cbn_wash2,cbn_wash3,cbn_calc,thcva_wash1,thcva_wash2,thcva_wash3,thcva_calc,thc_wash1,thc_wash2,thc_wash3,thc_calc,cbd_wash1,cbd_wash2,cbd_wash3,cbd_calc,cocaine_wash1,cocaine_wash2,cocaine_wash3,cocaine_calc
3,7.10000000000011,7.1,7,6.9,7.02500000000003,0.0735,0.0613,0.0351,0.0661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3233,0.977,10.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2.29999999999997,2,1.7,1.8,1.94999999999999,NA,NA,NA,NA,NA,NA,NA,NA,0.0364,0.0562,0.0287,0.331,NA,NA,NA,1.13,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,3.00000000000011,2.9,2.8,2.7,2.85000000000003,0.05,NA,NA,0.0462,0.0061,0.0046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,21.9,21.9,21.8,21.8,21.85,NA,NA,NA,0.0939,NA,NA,NA,NA,0.0086,NA,0.0098,0.7334,NA,NA,0.0086,3.94,NA,NA,NA,6.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,18.1,18,17.8,18.1,18,0.0553,0.051,0.0568,0.122488888888889,0.0036,0.0051,NA,0.0058,NA,NA,NA,NA,0.0211,NA,0.0155,NA,NA,NA,NA,10.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,17.8,17.7,17.6,17.6,17.675,0.1208,0.0721,0.0188,0.0813,0.0048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4285,NA,27.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,5.90000000000002,5.8,5.7,5.8,5.80000000000001,0.3644,0.6742,0.0894,0.2828,0.0369,0.0436,0.0061,0.0125,0.0218,NA,0.0103,0.5069,NA,NA,NA,2.28,NA,0.5311,0.2453,10.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,7.90000000000002,7.8,7.7,7.8,7.80000000000001,0.1126,0.3629,0.0747,0.1242,0.0075,0.0147,NA,0.0058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,18.6999999999999,18.6,18.5,18.4,18.55,0.042,0.0659,0.025,0.1277,0.006,0.0047,NA,0.0135,0.0659,0.2236,0.0548,2.44,0.0124,NA,0.0162,10.76,NA,0.1337,NA,5.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,6.49999999999995,6.5,6.4,6.6,6.49999999999999,0.0376,0.0244,0.0219,0.0487,NA,NA,NA,NA,NA,NA,NA,0.0796,NA,NA,NA,NA,NA,0.2451,0.3766,6.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
