sample,caffeine_wash1_batch1,caffeine_wash2_batch1,caffeine_wash3_batch1,caffeine_calc_batch1,theophyl_wash1_batch1,theophyl_wash2_batch1,theophyl_wash3_batch1,theophyl_calc_batch1,cotinine_wash1_batch1,cotinine_wash2_batch1,cotinine_wash3_batch1,cotinine_calc_batch1,nicotine_wash1_batch1,nicotine_wash2_batch1,nicotine_wash3_batch1,nicotine_calc_batch1,salicyl_wash1_batch1,salicyl_wash2_batch1,salicyl_wash3_batch1,salicyl_calc_batch1,thca-a_wash1_batch1,thca-a_wash2_batch1,thca-a_wash3_batch1,thca-a_calc_batch1,cbn_wash1_batch1,cbn_wash2_batch1,cbn_wash3_batch1,cbn_calc_batch1,thcva_wash1_batch1,thcva_wash2_batch1,thcva_wash3_batch1,thcva_calc_batch1,thc_wash1_batch1,thc_wash2_batch1,thc_wash3_batch1,thc_calc_batch1,cbd_wash1_batch1,cbd_wash2_batch1,cbd_wash3_batch1,cbd_calc_batch1,cocaine_wash1_batch1,cocaine_wash2_batch1,cocaine_wash3_batch1,cocaine_calc_batch1,batch1_weight,caffeine_wash1_batch2,caffeine_wash2_batch2,caffeine_wash3_batch2,caffeine_calc_batch2,theophyl_wash1_batch2,theophyl_wash2_batch2,theophyl_wash3_batch2,theophyl_calc_batch2,cotinine_wash1_batch2,cotinine_wash2_batch2,cotinine_wash3_batch2,cotinine_calc_batch2,nicotine_wash1_batch2,nicotine_wash2_batch2,nicotine_wash3_batch2,nicotine_calc_batch2,salicyl_wash1_batch2,salicyl_wash2_batch2,salicyl_wash3_batch2,salicyl_calc_batch2,thca-a_wash1_batch2,thca-a_wash2_batch2,thca-a_wash3_batch2,thca-a_calc_batch2,cbn_wash1_batch2,cbn_wash2_batch2,cbn_wash3_batch2,cbn_calc_batch2,thcva_wash1_batch2,thcva_wash2_batch2,thcva_wash3_batch2,thcva_calc_batch2,thc_wash1_batch2,thc_wash2_batch2,thc_wash3_batch2,thc_calc_batch2,cbd_wash1_batch2,cbd_wash2_batch2,cbd_wash3_batch2,cbd_calc_batch2,cocaine_wash1_batch2,cocaine_wash2_batch2,cocaine_wash3_batch2,cocaine_calc_batch2,batch2_weight
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3497,0.649999999999929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,0.124,0,0,0.28895,0.02685,0,0,0.0383,0,0,0,0.84405,0,0,0,5.15545,0,0,0,16.8203,0,0,0,1.62835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1045,42.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,0.2141,0.2937,0.14055,0.22865,0.01285,0.0144,0,0.0231,0,0,0,0,0,0,0,0,0,0,0,20.3454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.37500000000008,0.0735,0.0613,0.0351,0.0661,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0.3233,0.977,10.64,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7.02500000000003
4,0,0,0,0.17055,0,0,0,0,0,0,0,0.24155,0,0,0,1.64125,0,0,0,1.1877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189,2.42499999999996,0,0,0,0,0,0,0,0,0.0364,0.0562,0.0287,0.331,0,0,0,1.13,FALSE,0,0,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.94999999999999
5,0.1487,0.1033,0,0.16515,0.01325,0,0,0.0239,0.6388,0.42335,0.12975,5.55765,0.22285,0.1826,0,35.93185,0,0,0,33.634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,0.2197,0.0675,0,0.07745,0.02445,0,0,0.0311,0,0,0,0,0,0,0,0,0,0,0,2.949,0,0,0,0.04415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.275,0.05,0,0,0.0462,0.0061,0.0046,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0.2894,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2.85000000000003
7,0.0717,0.0754,0.09475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19999999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.737,0,0,9.0534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.40000000000008,0,0,0,0.0939,0,0,0,0,0.0086,0,0.0098,0.7334,0,0,0.0086,3.94,FALSE,0,0,6.14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,21.85
9,0.3514,0.7069,0.30465,0.34775,0.02915,0.0593,0.01795,0.0699,0,0,0,0,0.22505,0.1325,0,0,0,0,0,12.5256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.5749999999999,0.0553,0.051,0.0568,0.122488888888889,0.0036,0.0051,0,0.0058,0,0,0,0,0.0211,0,0.0155,0,FALSE,0,0,10.32,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,18
10,1.0572,0.4968,0.25305,0.25675,0.03745,0.0191,0,0.0358,0,0,0,0,0,0,0,0,1.0454,0,0,15.7181,0,0,0,0.21515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7499999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
