sample,weight,weight_wash1,weight_wash2,weight_wash3,weight_avg,caffeine_wash1,caffeine_wash2,caffeine_wash3,caffeine_calc,thephyl_wash1,thephyl_wash2,thephyl_wash3,thyephyl_calc,cotinine_wash1,cotinine_wash2,cotinine_wash3,cotinine_calc,nicotine_wash1,nicotine_wash2,nicotine_wash3,nicotine_calc,salicyl_wash1,salicyl_wash2,salicyl_wash3,salicyl_calc,thca-a_wash1,thca-a_wash2,thca-a_wash3,thca-a_calc,cbn_wash1,cbn_wash2,cbn_wash3,cbn_calc,thcva_wash1,thcva_wash2,thcva_wash3,thcva_calc,thc_wash1,thc_wash2,thc_wash3,thc_calc,cbd_wash1,cbd_wash2,cbd_wash3,cbd_calc,cocaine_wash1,cocaine_wash2,cocaine_wash3,cocaine_calculus
1,0.99999999999989,0.699999999999923,0.399999999999956,0.499999999999945,0.649999999999929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3497
2,42.8999999999999,43.1999999999999,42.7,42.6,42.85,0.124,NA,NA,0.28895,0.02685,NA,NA,0.0383,NA,NA,NA,0.84405,NA,NA,NA,5.15545,NA,NA,NA,16.8203,NA,NA,NA,1.62835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1045
3,9.60000000000005,9.40000000000008,9.2000000000001,9.30000000000009,9.37500000000008,0.2141,0.2937,0.14055,0.22865,0.01285,0.0144,NA,0.0231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.3454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2.59999999999994,2.39999999999996,2.09999999999999,2.59999999999994,2.42499999999996,NA,NA,NA,0.17055,NA,NA,NA,NA,NA,NA,NA,0.24155,NA,NA,NA,1.64125,NA,NA,NA,1.1877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.189
5,16.2,16.4,16,16.2,16.2,0.1487,0.1033,NA,0.16515,0.01325,NA,NA,0.0239,0.6388,0.42335,0.12975,5.55765,0.22285,0.1826,NA,35.93185,NA,NA,NA,33.634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,34.3,34.1,34.2,34.5,34.275,0.2197,0.0675,NA,0.07745,0.02445,NA,NA,0.0311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.949,NA,NA,NA,0.04415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,2.59999999999994,2.19999999999998,1.80000000000002,2.19999999999998,2.19999999999998,0.0717,0.0754,0.09475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.0804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,9.60000000000005,9.50000000000006,9.10000000000011,9.40000000000008,9.40000000000008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.737,NA,NA,9.0534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,18.6999999999999,18.6999999999999,18,18.8999999999999,18.5749999999999,0.3514,0.7069,0.30465,0.34775,0.02915,0.0593,0.01795,0.0699,NA,NA,NA,NA,0.22505,0.1325,NA,NA,NA,NA,NA,12.5256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,12.7999999999999,12.8999999999999,12.5999999999999,12.6999999999999,12.7499999999999,1.0572,0.4968,0.25305,0.25675,0.03745,0.0191,NA,0.0358,NA,NA,NA,NA,NA,NA,NA,NA,1.0454,NA,NA,15.7181,NA,NA,NA,0.21515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,14.7999999999999,15.0999999999999,14.5999999999999,15.0999999999999,14.8999999999999,0.4092,0.3992,0.14355,0.18015,0.03395,0.0255,0.01185,0.0299,NA,NA,NA,0.1806,NA,NA,NA,0.4528,0.6755,NA,NA,35.672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,4.09999999999999,4,3.50000000000006,3.60000000000005,3.80000000000002,0.1729,0.1081,0.07305,0.10145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1091,NA,NA,NA,19.6445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12.2,6.69999999999993,6.39999999999996,6.19999999999998,6.19999999999998,6.37499999999996,0.2018,0.1864,0.08785,0.07145,0.01105,NA,NA,NA,NA,NA,NA,0.1566,NA,NA,NA,0.8459,0.6273,NA,NA,27.4255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,7.10000000000011,7.40000000000007,6.80000000000014,6.90000000000013,7.05000000000011,0.0546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,15.9,16.3,15.6000000000001,16.1,15.975,0.5287,0.2067,0.10475,0.15205,0.02925,0.0162,NA,0.0294,NA,NA,NA,0.2821,NA,NA,NA,1.4296,NA,NA,NA,17.6566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,10.4,10.5999999999999,10.5,10.5999999999999,10.525,0.5503,0.393,0.14695,0.10825,0.04015,0.0212,NA,0.0137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.148
16,31.9999999999998,32.4,31.8999999999998,32.0999999999998,32.0999999999999,0.1055,0.0793,NA,0.66915,NA,NA,NA,0.0354,NA,NA,NA,0.102,NA,NA,NA,0.4526,NA,NA,NA,19.9776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16b,12.2,12.4,12.1,11.9,12.15,0.1792,0.1082,0.06615,0.11485,NA,NA,NA,0.0156,0.0967,0.06045,NA,0.0543,NA,NA,NA,0.1041,NA,NA,NA,21.3782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,20.3,20.6,20,20.3,20.3,0.0897,NA,NA,NA,NA,NA,NA,NA,0.0722,NA,NA,0.5718,NA,NA,NA,2.7684,0.6287,NA,NA,12.4885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,20.5,20.9999999999999,20.4,20.5,20.6,3.6907,1.2596,0.39565,0.26975,0.06645,0.0205,NA,0.024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.2421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,2.90000000000012,3.00000000000011,2.70000000000015,2.90000000000012,2.87500000000012,0.0936,0.0634,0.06095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74185,NA,NA,NA,16.4925,NA,NA,NA,1.39,NA,NA,NA,0.0726,NA,NA,NA,1.24185,NA,NA,NA,NA,NA,NA,NA,NA
